Gebiet,Ort,Fläche,Datum,Durchgang,Art_deutsch,Zahl,Wissenschaftlicher_Name
A,Hübitz,Untersuchung,14.05.2024,1,Jagdfasan,4,Phasianus colchicus
A,,,,1,Grauammer,2,Emberiza calandra
A,,,,1,Feldlerche,11,Alauda arvensis
A,,,,1,Kernbeißer,4,Coccothraustes coccothraustes
A,,,,1,Elster,4,Pica pica
A,,,,1,Schafstelze,9,Motacilla flava
A,,,,1,Nachtigall,5,Luscinia megarhynchos
A,,,,1,Schwarzkehlchen,2,Saxicola rubicola
A,,,,1,Zilpzalp,2,Phylloscopus collybita
A,,,,1,Ringeltaube,1,Columba palumbus
A,,,,1,Blaumeise,1,Cyanistes caeruleus
A,,,,1,Kohlmeise,4,Parus major
A,,,,1,Buntspecht,1,Dendrocopos major
A,,,,1,Star,2,Sturnus vulgaris
A,,,,1,Rabenkrähe,1,Corvus corone
A,,,,1,Amsel,1,Turdus merula
A,,,,1,Gartengrasmücke,1,Sylvia borin
A,,,,1,Haussperling,1,Passer domesticus
A,,,,1,Bachstelze,1,Motacilla alba
A,,,,1,Rauchschwalbe,1,Hirundo rustica
A,,,,1,Goldammer,1,Emberiza citrinella
,Hübitz,Kontrolle,14.05.2024,1,,NA,
B,,,,1,Kohlmeise,1,Parus major
B,,,,1,Feldlerche,9,Alauda arvensis
B,,,,1,Schafstelze,3,Motacilla flava
B,,,,1,Nachtigall,1,Luscinia megarhynchos
,Schora,Untersuchung,22.05.2024,1,,NA,
G,,,,1,Feldlerche,8,Alauda arvensis
G,,,,1,Stieglitz,1,Carduelis carduelis
G,,,,1,Grauammer,1,Emberiza calandra
,Schora,Kontrolle,22.05.2024,1,,NA,
H,,,,1,Feldlerche,18,Alauda arvensis
H,,,,1,Amsel,1,Turdus merula
H,,,,1,Nachtigall,6,Luscinia megarhynchos
H,,,,1,Schafstelze,4,Motacilla flava
H,,,,1,Kernbeißer,1,Coccothraustes coccothraustes
H,,,,1,Buchfink,1,Fringilla coelebs
H,,,,1,Gartengrasmücke,1,Sylvia borin
H,,,,1,Goldammer,2,Emberiza citrinella
H,,,,1,Neuntöter,2,Lanius collurio
H,,,,1,Ringeltaube,1,Columba palumbus
,Aken,Kontrolle,22.05.2024,1,,NA,
D,,,,1,Stieglitz,3,Carduelis carduelis
D,,,,1,Feldlerche,6,Alauda arvensis
D,,,,1,Blaumeise,4,Cyanistes caeruleus
D,,,,1,Grauammer,1,Emberiza calandra
D,,,,1,Kiebitz,1,Vanellus vanellus
D,,,,1,Schafstelze,2,Motacilla flava
D,,,,1,Nachtigall,1,Luscinia megarhynchos
,Aken,Untersuchung,22.05.2024,1,,NA,
C,,,,1,Feldlerche,14,Alauda arvensis
C,,,,1,Star,3,Sturnus vulgaris
C,,,,1,Schafstelze,5,Motacilla flava
C,,,,1,Pirol,3,Oriolus oriolus
,Gimritz,Untersuchung,23.05.2024,1,,NA,
E,,,,1,Pirol,2,Oriolus oriolus
E,,,,1,Grünspecht,1,Picus viridis
E,,,,1,Neuntöter,3,Lanius collurio
E,,,,1,Mäusebussard,1,Buteo buteo
E,,,,1,Feldlerche,1,Alauda arvensis
E,,,,1,Jagdfasan,3,Phasianus colchicus
E,,,,1,Star,2,Sturnus vulgaris
E,,,,1,Wiedehopf,1,Upupa epops
E,,,,1,Kernbeißer,1,Coccothraustes coccothraustes
E,,,,1,Rotmilan,1,Milvus milvus
E,,,,1,Grauammer,1,Emberiza calandra
E,,,,1,Gartenrotschwanz,2,Phoenicurus phoenicurus
E,,,,1,Wendehals,1,Jynx torquilla
,Gimritz,Kontrolle,23.05.2024,1,,NA,
F,,,,1,Jagdfasan,1,Phasianus colchicus
F,,,,1,Grauammer,3,Emberiza calandra
F,,,,1,Star,9,Sturnus vulgaris
F,,,,1,Elster,1,Pica pica
F,,,,1,Neuntöter,2,Lanius collurio
F,,,,1,Nachtigall,1,Luscinia megarhynchos
F,,,,1,Ringeltaube,1,Columba palumbus
,Schora,Untersuchung,29.05.2024,2,,NA,
G,,,,2,Jagdfasan,1,Phasianus colchicus
G,,,,2,Goldammer,1,Emberiza citrinella
G,,,,2,Feldlerche,11,Alauda arvensis
G,,,,2,Kohlmeise,1,Parus major
G,,,,2,Ringeltaube,1,Columba palumbus
G,,,,2,Grauammer,1,Emberiza calandra
G,,,,2,Stieglitz,2,Carduelis carduelis
G,,,,2,Elster,1,Pica pica
G,,,,2,Rauchschwalbe,1,Hirundo rustica
G,,,,2,Dorngrasmücke,1,Curruca communis
,Schora,Kontrolle,29.05.2024,2,,NA,
H,,,,2,Feldlerche,7,Alauda arvensis
H,,,,2,Buntspecht,1,Dendrocopos major
H,,,,2,Kohlmeise,2,Parus major
H,,,,2,Ringeltaube,1,Columba palumbus
H,,,,2,Amsel,1,Turdus merula
H,,,,2,Nachtigall,1,Luscinia megarhynchos
H,,,,2,Gelbspötter,3,Hippolais icterinna
H,,,,2,Gartengrasmücke,1,Sylvia borin
H,,,,2,Neuntöter,1,Lanius collurio
H,,,,2,Goldammer,1,Emberiza citrinella
H,,,,2,Stieglitz,1,Carduelis carduelis
H,,,,2,Schafstelze,1,Motacilla flava
H,,,,2,Rotmilan,1,Milvus milvus
,Aken,Kontrolle,29.05.2024,2,,NA,
D,,,,2,Bachstelze,1,Motacilla alba
D,,,,2,Turmfalke,1,Falco tinnunculus
D,,,,2,Kuckuck,1,Cuculus canorus
D,,,,2,Neuntöter,1,Lanius collurio
D,,,,2,Feldlerche,4,Alauda arvensis
D,,,,2,Stockente,1,Anas platyrhynchos
D,,,,2,Grauammer,2,Emberiza calandra
D,,,,2,Schafstelze,3,Motacilla flava
D,,,,2,Kohlmeise,1,Parus major
D,,,,2,Jagdfasan,1,Phasianus colchicus
D,,,,2,Rohrammer,1,Emberiza schoeniclus
,Aken,Untersuchung,29.05.2024,2,,NA,
C,,,,2,Feldlerche,10,Alauda arvensis
C,,,,2,Grauammer,1,Emberiza calandra
C,,,,2,Mauersegler,2,Apus apus
C,,,,2,Weißstorch,1,Ciconia ciconia
C,,,,2,Schafstelze,1,Motacilla flava
C,,,,2,Rauchschwalbe,1,Hirundo rustica
C,,,,2,Pirol,1,Oriolus oriolus
C,,,,2,Schafstelze,1,Motacilla flava
,Gimritz,Kontrolle,30.05.2024,2,,NA,
F,,,,2,Wiedehopf,1,Upupa epops
F,,,,2,Grauammer,4,Emberiza calandra
F,,,,2,Feldlerche,1,Alauda arvensis
F,,,,2,Mäusebussard,1,Buteo buteo
F,,,,2,Ringeltaube,2,Columba palumbus
F,,,,2,Turmfalke,1,Falco tinnunculus
F,,,,2,Pirol,2,Oriolus oriolus
F,,,,2,Girlitz,1,Serinus serinus
F,,,,2,Kuckuck,1,Cuculus canorus
F,,,,2,Schwarzkehlchen,1,Saxicola rubicola
F,,,,2,Stieglitz,1,Carduelis carduelis
,Gimritz,Untersuchung,30.05.2024,2,,NA,
E,,,,2,Bienenfresser,4,Merops apiaster
E,,,,2,Jagdfasan,1,Phasianus colchicus
E,,,,2,Star,3,Sturnus vulgaris
E,,,,2,Rotmilan,1,Milvus milvus
E,,,,2,Mäusebussard,1,Buteo buteo
E,,,,2,Pirol,1,Oriolus oriolus
E,,,,2,Buchfink,1,Fringilla coelebs
E,,,,2,Zilpzalp,1,Phylloscopus collybita
E,,,,2,Schafstelze,1,Motacilla flava
E,,,,2,Turmfalke,2,Falco tinnunculus
E,,,,2,Buntspecht,1,Dendrocopos major
E,,,,2,Kohlmeise,1,Parus major
E,,,,2,Ringeltaube,1,Columba palumbus
E,,,,2,Neuntöter,1,Lanius collurio
E,,,,2,Mauersegler,1,Apus apus
,Schora,Untersuchung,05.06.2024,3,,NA,
G,,,,3,Feldlerche,12,Alauda arvensis
G,,,,3,Stieglitz,3,Carduelis carduelis
G,,,,3,Star,1,Sturnus vulgaris
G,,,,3,Neuntöter,1,Lanius collurio
G,,,,3,Grauammer,1,Emberiza calandra
G,,,,3,Bluthänfling,2,Linaria cannabina
G,,,,3,Dorngrasmücke,1,Curruca communis
G,,,,3,Pirol,1,Oriolus oriolus
G,,,,3,Jagdfasan,1,Phasianus colchicus
,Schora,Kontrolle,05.06.2024,3,,NA,
H,,,,3,Goldammer,6,Emberiza citrinella
H,,,,3,Feldlerche,3,Alauda arvensis
H,,,,3,Schafstelze,1,Motacilla flava
H,,,,3,Ringeltaube,2,Columba palumbus
H,,,,3,Gelbspötter,1,Hippolais icterina
H,,,,3,Kohlmeise,4,Parus major
H,,,,3,Neuntöter,1,Lanius collurio
,Aken,Kontrolle,05.06.2024,3,,NA,
D,,,,3,Feldlerche,9,Alauda arvensis
D,,,,3,Grauammer,3,Emberiza calandra
D,,,,3,Stockente,3,Anas platyrhynchos
D,,,,3,Graureiher,1,Ardea cinerea
D,,,,3,Schafstelze,3,Motacilla flava
D,,,,3,Kranich,2,Grus grus
,Aken,Untersuchung,05.06.2024,3,,NA,
C,,,,3,Feldlerche,6,Alauda arvensis
C,,,,3,Grauammer,2,Emberiza calandra
C,,,,3,Jagdfasan,1,Phasianus colchicus
C,,,,3,Drosselrohrsänger,1,Acrocephalus arundinaceus
C,,,,3,Schafstelze,1,Motacilla flava
,Hübitz,Untersuchung,06.06.2024,2,,NA,
A,,,,2,Feldlerche,11,Alauda arvensis
A,,,,2,Elster,5,Pica pica
A,,,,2,Dohle,2,Coloeus monedula
A,,,,2,Stieglitz,4,Carduelis carduelis
A,,,,2,Kuckuck,1,Cuculus canorus
A,,,,2,Jagdfasan,2,Phasianus colchicus
A,,,,2,Mauersegler,1,Apus apus
A,,,,2,Ringeltaube,2,Columba palumbus
A,,,,2,Amsel,1,Turdus merula
A,,,,2,Nachtigall,2,Luscinia megarhynchos
A,,,,2,Zilpzalp,1,Phylloscopus collybita
A,,,,2,Rauchschwalbe,1,Hirundo rustica
A,,,,2,Haussperling,1,Passer domesticus
A,,,,2,Buntspecht,2,Dendrocopos major
A,,,,2,Rabenkrähe,1,Corvus corone
A,,,,2,Schafstelze,3,Motacilla flava
A,,,,2,Grünfink,1,Chloris chloris
A,,,,2,06.06.2024,2,Hübitz Kontrolle
A,,,,2,Rabenkrähe,1,Corvus corone
A,,,,2,Schafstelze,8,Motacilla flava
A,,,,2,Feldlerche,17,Alauda arvensis
A,,,,2,Stieglitz,2,Carduelis carduelis
,M-dorf,Untersuchung 1-3,21.06.2024,1,,NA,
J,,,,1,Dorngrasmücke,6,Curruca communis
J,,,,1,Feldlerche,9,Alauda arvensis
J,,,,1,Jagdfasan,1,Phasianus colchicus
J,,,,1,Ringeltaube,3,Columba palumbus
J,,,,1,Stieglitz,2,Carduelis carduelis
J,,,,1,Mäusebussard,1,Buteo buteo
J,,,,1,Goldammer,1,Emberiza citrinella
J,,,,1,Sumpfrohrsänger,1,Acrocephalus palustris
J,,,,1,Schwarzkehlchen,1,Saxicola rubicola
,M-Dorf,Untersuchung 4-5,21.06.2024,1,,NA,
K,,,,1,Jagdfasan,1,Phasianus colchicus
K,,,,1,Feldlerche,2,Alauda arvensis
K,,,,1,Stieglitz,2,Carduelis carduelis
K,,,,1,Haussperling,2,Passer domesticus
K,,,,1,Sumpfrohrsänger,2,Acrocephalus palustris
K,,,,1,21.06.2024,1,M-Dorf Kontrolle
K,,,,1,Turmfalke,1,Falco tinnunculus
K,,,,1,Dorngrasmücke,1,Curruca communis
K,,,,1,Gartengrasmücke,1,Sylvia borin
K,,,,1,Feldlerche,3,Alauda arvensis
K,,,,1,Star,3,Sturnus vulgaris
K,,,,1,Mäusebussard,1,Buteo buteo
K,,,,1,Rabenkrähe,1,Corvus corone
K,,,,1,Stieglitz,2,Carduelis carduelis
K,,,,1,Amsel,1,Turdus merula
,Hübitz,Untersuchung,24.06.2024,3,,NA,
A,,,,3,Elster,3,Pica pica
A,,,,3,Zilpzalp,1,Phylloscopus collybita
A,,,,3,Feldlerche,13,Alauda arvensis
A,,,,3,Rabenkrähe,1,Corvus corone
A,,,,3,Stieglitz,2,Carduelis carduelis
A,,,,3,Jagdfasan,2,Phasianus colchicus
A,,,,3,Klappergrasmücke,1,Curruca curruca
A,,,,3,Eichelhäher,1,Garrulus glandarius
A,,,,3,Mäusebussard,1,Buteo buteo
A,,,,3,Rauchschwalbe,7,Hirundo rustica
A,,,,3,Mauersegler,7,Apus apus
A,,,,3,Schafstelze,3,Motacilla flava
A,,,,3,Ringeltaube,1,Columba palumbus
,Hübitz,Kontrolle,24.06.2024,3,,NA,
B,,,,3,Feldlerche,11,Alauda arvensis
B,,,,3,Rabenkrähe,2,Corvus corone
B,,,,3,Schafstelze,2,Motacilla flava
B,,,,3,Ringeltaube,2,Columba palumbus
B,,,,3,Kolkrabe,2,Corvus corax
B,,,,3,Kohlmeise,1,Parus major
B,,,,3,Blaumeise,1,Cyanistes caeruleus
B,,,,3,Dorngrasmücke,1,Curruca communis
B,,,,3,Elster,1,Pica pica
,Gimritz,Untersuchung,24.06.2024,3,,NA,
E,,,,3,Neuntöter,3,Lanius collurio
E,,,,3,Bienenfresser,5,Merops apiaster
E,,,,3,Rotmilan,1,Milvus milvus
E,,,,3,Mäusebussard,1,Buteo buteo
E,,,,3,Dorngrasmücke,1,Curruca communis
E,,,,3,Feldlerche,1,Alauda arvensis
E,,,,3,Star,1,Sturnus vulgaris
E,,,,3,Kohlmeise,1,Parus major
E,,,,3,Schwarzkehlchen,2,Saxicola rubicola
E,,,,3,Grauammer,1,Emberiza calandra
E,,,,3,Pirol,2,Oriolus oriolus
E,,,,3,Baumpieper,1,Anthus trivialis
E,,,,3,Amsel,1,Turdus merula
E,,,,3,Kuckuck,1,Cuculus canorus
,Gimritz,Kontrolle,24.06.2024,3,,NA,
F,,,,3,Grauammer,4,Emberiza calandra
F,,,,3,Rotmilan,3,Milvus milvus
F,,,,3,Kolkrabe,1,Corvus corax
F,,,,3,Rauchschwalbe,4,Hirundo rustica
F,,,,3,Haussperling,1,Passer domesticus
F,,,,3,Star,4,Sturnus vulgaris
F,,,,3,Mäusebussard,1,Buteo buteo
F,,,,3,Turmfalke,2,Falco tinnunculus
,M-Dorf,Kontrolle,26.06.2024,2,,NA,
I,,,,2,Amsel,1,Turdus merula
I,,,,2,Buchfink,1,Fringilla coelebs
I,,,,2,Schafstelze,1,Motacilla flava
I,,,,2,Rabenkrähe,2,Corvus corone
I,,,,2,Kohlmeise,1,Parus major
I,,,,2,Gartengrasmücke,1,Sylvia borin
I,,,,2,Feldlerche,2,Alauda arvensis
,M-Dorf,Untersuchung 1-3,26.06.2024,2,,NA,
J,,,,2,Goldammer,2,Emberiza citrinella
J,,,,2,Ringeltaube,2,Columba palumbus
J,,,,2,Dorngrasmücke,3,Curruca communis
J,,,,2,Sumpfrohrsänger,4,Acrocephalus palustris
J,,,,2,Mäusebussard,1,Buteo buteo
J,,,,2,Feldlerche,5,Alauda arvensis
J,,,,2,Turmfalke,1,Falco tinnunculus
J,,,,2,Dohle,2,Coloeus monedula
J,,,,2,Zilpzalp,2,Phylloscopus collybita
J,,,,2,Pirol,1,Oriolus oriolus
J,,,,2,M.nchsgrasmücke,2,Sylvia atricapilla
J,,,,2,Rohrweihe,1,Circus aeruginosus
J,,,,2,Rotmilan,1,Milvus milvus
,M-Dorf,Untersuchung 4-5,26.06.2024,2,,NA,
K,,,,2,Sumpfrohrsänger,3,Acrocephalus palustris
K,,,,2,Feldlerche,1,Alauda arvensis
K,,,,2,Bachstelze,1,Motacilla alba
K,,,,2,Mauersegler,1,Apus apus
K,,,,2,Dorngrasmücke,1,Curruca communis
K,,,,2,Star,1,Sturnus vulgaris
K,,,,2,Jagdfasan,1,Phasianus colchicus
,M-Dorf,Kontrolle,03.07.2024,3,,NA,
I,,,,3,Rabenkrähe,1,Corvus corone
I,,,,3,Feldlerche,3,Alauda arvensis
I,,,,3,Rotmilan,1,Milvus milvus
,M-Dorf,Untersuchung 1-3,03.07.2024,3,,NA,
J,,,,3,Sumpfrohrsänger,8,Acrocephalus palustris
J,,,,3,Ringeltaube,1,Columba palumbus
J,,,,3,Feldlerche,5,Alauda arvensis
J,,,,3,Turmfalke,3,Falco tinnunculus
J,,,,3,Rotmilan,1,Milvus milvus
J,,,,3,Amsel,1,Turdus merula
J,,,,3,Mäusebussard,1,Buteo buteo
J,,,,3,Kohlmeise,1,Parus major
,M-Dorf,Untersuchung 4-5,03.07.2024,3,,NA,
K,,,,3,Feldlerche,2,Alauda arvensis
K,,,,3,Rotmilan,1,Milvus milvus
K,,,,3,Ringeltaube,1,Columba palumbus
K,,,,3,Bachstelze,1,Motacilla alba
K,,,,3,Elster,1,Pica pica
K,,,,3,Amsel,1,Turdus merula